,1,2,3,4,5,6,7,8,9,10,11,12
all,39.06705703296621,69.52176386691502,81.5578549602626,77.55380125891328,92.65271537275684,111.3945447972573,104.38459379707393,120.22479183056683,168.865627357076,0,0,0
10178,108.33333333333333,0.0,0.0,0.0,0.0,324.0,0.0,37.0,0.0,0,0,0
10179,0.0,42.0,0.0,1353.6666666666667,0.0,0.0,0.0,0.0,0.0,0,0,0
10271,0.0,0.0,8.5,1995.5,1493.5,4.0,2.6666666666666665,0.0,0.0,0,0,0
10278,69.33333333333333,3.6666666666666665,518.5,12.2,64.33333333333333,59.5,9.0,10.4,14.0,0,0,0
10279,23.166666666666668,15.214285714285714,722.0,0.0,437.2,0.0,7.333333333333333,34.0,205.0,0,0,0
10280,27.6,41.86,49.5,95.7948717948718,90.25,61.80487804878049,35.41463414634146,15.5625,115.72413793103448,0,0,0
10281,9.666666666666666,20.25,664.5,652.75,216.33333333333334,350.0,210.0,42.857142857142854,0.125,0,0,0
10282,13.238095238095237,88.88888888888889,111.0,49.16216216216216,25.1875,58.5,43.166666666666664,39.63636363636363,143.5,0,0,0
12345,1.6666666666666667,18.2,5.0,0.0,0.0,0.0,323.5,0.25,0.6,0,0,0
10301,44.13583815028902,75.67039106145252,59.4056338028169,82.23065693430657,77.57894736842105,74.69158878504673,113.43862987630828,153.26061615320566,181.27272727272728,0,0,0
10302,46.136170212765954,61.45945945945946,125.9290780141844,106.02583025830258,76.6749226006192,106.1097046413502,178.65375854214122,155.41701244813277,245.6086105675147,0,0,0
10303,41.3469387755102,55.779369627507165,75.7038043478261,53.335243553008596,84.36034115138592,84.50449101796407,132.544901065449,175.4941569282137,165.77272727272728,0,0,0
10304,33.59900166389351,67.8735632183908,89.2809364548495,72.23789473684211,125.48010610079575,111.95817490494296,120.38185085354897,164.48986486486487,263.83557046979865,0,0,0
10305,33.581780538302276,57.84728033472803,69.89845474613686,44.93030303030303,75.59888059701493,88.18885869565217,98.39563106796116,150.17618469015795,199.21837549933423,0,0,0
10306,41.30568356374808,47.66454081632653,65.86590584878745,89.05026929982047,87.91099476439791,73.36858974358974,91.76,151.5980091883614,278.35540069686414,0,0,0
